Kabupaten/Kota;Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Daging Per Kabupaten/kota (Satuan Daging sapi Komoditas);;;;;;;
;2018;2019;2020;2021;2022;2023;2024;2025
Bogor;0,014;0,008;0,01;0,007;0,011;0,01;0,006;0,008
Sukabumi;0,005;0,006;0,01;0,006;0,01;0,01;0,006;0,01
Cianjur;0,007;0,007;0,009;0,01;0,005;0,006;0,007;0,007
Bandung;0,013;0,015;0,014;0,01;0,008;0,009;0,005;0,011
Garut;0,004;0,004;0,005;0,004;0,005;0,003;0,004;0,006
Tasikmalaya;0,005;0,008;0,008;0,003;0,008;0,007;0,005;0,005
Ciamis;0,006;0,007;0,006;0,006;0,008;0,006;0,006;0,005
Kuningan;0,003;0,004;0,008;0,006;0,008;0,008;0,002;0,006
Cirebon;0,004;0,005;0,006;0,004;0,008;0,005;0,007;0,006
Majalengka;0,006;0,01;0,01;0,009;0,008;0,004;0,005;0,004
Sumedang;0,008;0,006;0,015;0,007;0,006;0,005;0,006;0,008
Indramayu;0,001;0,004;0,006;0,007;0,003;0,005;0,008;0,003
Subang;0,006;0,007;0,005;0,011;0,01;0,006;0,007;0,004
Purwakarta;0,011;0,011;0,014;0,007;0,009;0,008;0,007;0,01
Karawang;0,007;0,009;0,008;0,005;0,006;0,007;0,006;0,005
Bekasi;0,011;0,014;0,01;0,008;0,015;0,013;0,008;0,013
Bandung Barat;0,011;0,01;0,012;0,008;0,007;0,008;0,009;0,007
Pangandaran;0,007;0,008;0,006;0,009;0,007;0,006;0,005;0,003
Kota Bogor;0,021;0,018;0,02;0,026;0,018;0,015;0,013;0,022
Kota Sukabumi;0,012;0,022;0,021;0,013;0,023;0,011;0,01;0,008
Kota Bandung;0,027;0,025;0,024;0,025;0,025;0,021;0,019;0,019
Kota Cirebon;0,013;0,009;0,01;0,017;0,018;0,015;0,011;0,009
Kota Bekasi;0,027;0,03;0,026;0,031;0,039;0,036;0,021;0,023
Kota Depok;0,021;0,02;0,025;0,018;0,026;0,024;0,026;0,028
Kota Cimahi;0,017;0,025;0,02;0,021;0,018;0,015;0,014;0,024
Kota Tasikmalaya;0,009;0,011;0,011;0,021;0,011;0,013;0,011;0,008
Kota Banjar;0,006;0,004;0,004;0,007;0,014;0,016;0,012;0,006
